Transaction, Token Contract, Token Address
0x3870be4c7ca81763e6374b2b19b83197c29f3caf1e9c703fdd23a6ab03d80bfa, 0xe41d2489571d322189246dafa5ebde1f4699f498, ZRX (ZRX)
0xcd22152ff7b1d19e6b45b5567651f9d2a47512e4efd1045f0022b1bbe1769bcf, 0x58b6a8a3302369daec383334672404ee733ab239, Livepeer Token (LPT)
0x838585e5f97d6295db22652b97d4c393eb5b98c8fb8cdee8903c6bc609d28b85, 0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2, Maker (MKR)
0x4964d4338cfdb92d2008a660522ea6d6eb43e7d7be9c66cd9b819706c7138f8f, 0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2, Maker (MKR)
0x752aa56f9024726d23630bd0eca2717a8d7c302e76d05fd649545a860b62fe33, 0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2, Maker (MKR)
0xe655e5aebf3b3ad15240b512e5c4ef0ee2b10920bafbc5b19ff56f53bbf0d3f2, 0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2, Maker (MKR)
0x54c4899c1ae174f24a01041119c44a0515b9e1fb6a26c7d8cd2b73d4232053a2, 0xdac17f958d2ee523a2206206994597c13d831ec7, Tether USD (USDT)
0x49df95a22fd42399601c43cc13e9ef8a2b06df2ba54281ca08f787e3402709bc, 0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c, EnjinCoin (ENJ)
0x49df95a22fd42399601c43cc13e9ef8a2b06df2ba54281ca08f787e3402709bc, 0x744d70fdbe2ba4cf95131626614a1763df805b9e, StatusNetwork (SNT)
0x49df95a22fd42399601c43cc13e9ef8a2b06df2ba54281ca08f787e3402709bc, 0x1776e1f26f98b1a5df9cd347953a26dd3cb46671, Numeraire (NMR)
0x96b811cd257a240c504f571aab8d983e672b6de46f2a6ce77d4c3bab49141256, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0x7788c725a053d6324e91640d927b34dcc1c99c08a7dbd68192d55ec2370186be, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xab6963b51255497ab0666ca851fc2636d7e71416c430672ef7f0e25c6d68effb, 0xe41d2489571d322189246dafa5ebde1f4699f498, ZRX (ZRX)
0x69d5ef280b3f377c515af684239169735e44f2a97647626b16dda4de4aa3a4b3, 0xdac17f958d2ee523a2206206994597c13d831ec7, Tether USD (USDT)
0xfa534d85af28efc034308fbc6a68a3c3eaa0fa478a2053e77ad1b1c70200fdb7, 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599, Wrapped BTC (WBTC)
0x1add4e127b8ceb0b9ceb2bf0c37f5b3cf6e8f1e56e835d44513f3529dc904628, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x57f2abc4012be32248524980b93660f230af9b091b906640ade0d651ad27f2d4, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x24e111b737523aeef622fda3776b69e2e9394cb37746575dc7a77a3545700c99, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0x24e111b737523aeef622fda3776b69e2e9394cb37746575dc7a77a3545700c99, 0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2, Maker (MKR)
0xcf9b12ab0af679cab9f99114efe5af97958fcb01466e98e6d32734cd0a8472e7, 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599, Wrapped BTC (WBTC)
0x0af9a9f74d2900b5e2c71b4565477656138d16cbd755f3fc3570df537f79f1e2, 0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2, Maker (MKR)
0x22e3de3bc9215ee1de42be37351bc95e896416974a66811edcab1f02e69e8f1c, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0xe606851334bde34564f25c0bd4e22cb1b7432a65e9b1f5fcdc1dae4923ba69fe, 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599, Wrapped BTC (WBTC)
0x67f5443aaf61ccf99b0ec4a939558b6847a83636be914a8d9ed5dda6bd1bd358, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0xa77e85060e1fdacd0a5fa31506fbddfd94d41701e99dc7c2c0fdb4083571e09b, 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599, Wrapped BTC (WBTC)
0x7ed2a7be5bbb62ad90364ac9d07f086a3f2c91f5729fcd95bfab424c925c8955, 0xb4efd85c19999d84251304bda99e90b92300bd93, Rocket Pool (RPL)
0xcc75884d903e469f333544782714176436f50b38e53b634c935419944fc5b1e7, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0x90c7b90a3b48428232450b95a6a4ca601833b273eb2f0fb6c023a74b4fcd3008, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x344cd21c7fb7bb55979d108da517a6d1284ec9f469f2b77f6567d6c14c1af71e, 0xdac17f958d2ee523a2206206994597c13d831ec7, Tether USD (USDT)
0xf9e0253d43ab2eb9b7d467a4e555e0e2b0187dfec159c49fa37b472a5c9cc74f, 0x744d70fdbe2ba4cf95131626614a1763df805b9e, StatusNetwork (SNT)
0xf9e0253d43ab2eb9b7d467a4e555e0e2b0187dfec159c49fa37b472a5c9cc74f, 0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e, UniBright (UBT)
0x36c2f59fef84c4eb8574eb31e09523d89cd6d5c3af8087e594b3a38cae408eb7, 0xc00e94cb662c3520282e6f5717214004a7f26888, Compound (COMP)
0xee44c335a446b18545a4399ccf3855ea3c879c887ae5eef34f9114d9d9825980, 0xdac17f958d2ee523a2206206994597c13d831ec7, Tether USD (USDT)
0x15b1a49ef415fc2a6e8f8bb130c2c71d7c682abd3a509e169465ea7ba7431623, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x8d7311b79badfe45ad0ca28475e9ab12ddcf9f120cef6a7948b5a182eac3a0d4, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xaf0bc318cee0b90c36e7f541b5a4d4b38daa7a5e7f49318dbe677b0b86699d57, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xa34c79f09bb4b21e97153f67fa0ff67cb539ea63524fc09b212197780d9380dc, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x89598f89bb7ad788626c05266797735a0930626cf578444d19d9feb4a5f4e164, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xdcaa4eda5cf562d57d72c3b5d8dff7e0972e2200f9c7df8a7dfe1067beb2efa8, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xe6de9f2956b39aa2a2bee54d902f376f8beec2d7b34e24718140ac580606526f, 0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c, Bancor (BNT)
